Population	Number	Length (mm)	Width (mm)	Number of Eggs	Dry Mass (mg)
VIMS	33	9.863	2.657	48	1.4
VIMS	34	11.092	2.995	51	5.1
VIMS	35	13.542	3.993	66	8.6
VIMS	36	10.918	3.428	72	4.9
VIMS	37	10.159	3.155	64	2.1
VIMS	38	13.091	3.727	88	8.1
VIMS	39	11.92	3.65	84	6.8
VIMS	40	14.025	3.727	72	8.4
VIMS	41	11.376	3.039	60	4.1
VIMS	42	11.666	3.117	49	3.8
VIMS	43	10.733	2.924	59	3.2
VIMS	44	10.819	3.363	86	3.2
VIMS	45	13.664	3.669	86	6.6
VIMS	46	13.088	3.739	73	6.8
VIMS	47	9.6	3.053	45	2.9
VIMS	48	10.18	3.067	68	2.2
VIMS	49	13.072	3.716	57	4
VIMS	50	10.547	3.108	52	2.8
Magnolia	1	13.838	4.325	109	6
Magnolia	2	15.699	5.043	100	11.1
Magnolia	3	18.339	5.866	188	16.8
Magnolia	4	14.488	5.081	126	8.4
Magnolia	5	15.328	5.064	185	11.5
Magnolia	6	15.316	4.756	81	8.7
Magnolia	7	16.632	5.71	221	12.8
Magnolia	8	13.1	4.149	100	7
Magnolia	9	12.907	4.145	120	7.8
Magnolia	10	16.447	5.13	204	14.3
Magnolia	11	13.811	4.814	148	6.6
Magnolia	12	12.209	3.95	102	5.5
Magnolia	13	15.638	5.613	176	9.8
Magnolia	14	13.678	4.369	69	6.5
Magnolia	15	13.879	4.437	152	10.2
Magnolia	16	14.982	2.765	77	5.6
Magnolia	17	13.333	4.283	107	5.6
Magnolia	18	14.552	5.158	77	13.6
Magnolia	19	14.597	4.708	131	9.8
Magnolia	20	14.129	4.747	84	5.8
Magnolia	21	14.284	4.382	109	12.1
Magnolia	22	14.588	4.858	153	7.5
Magnolia	23	14.759	4.402	162	8.3
Magnolia	24	12.253	3.916	116	4.2
Magnolia	25	12.768	4.138	119	6.3
Magnolia	26	14.214	4.256	106	9.1
Magnolia	27	13.744	4.832	136	11.2
Magnolia	28	15.222	4.886	112	10.8
Magnolia	29	13.954	4.635	123	10.1
Magnolia	30	12.479	4.063	64	7.8
Magnolia	31	13.315	4.186	118	9.1
Magnolia	32	13.28	4.176	103	5.3
Magnolia	33	12.247	4.224	81	4.3
Magnolia	34	14.274	4.518	108	8
Magnolia	35	18.028	6.002	237	17.4
Magnolia	36	16.825	5.202	178	11.5
Magnolia	37	19.179	6.375	225	15.8
Magnolia	38	15.956	4.993	195	18.4
Magnolia	39	16.794	5.701	178	19.1
Magnolia	40	16.847	5.285	114	18.2
Magnolia	41	14.963	4.998	149	13.2
Magnolia	42	14.707	4.705	130	11.9
Magnolia	43	15.555	4.733	90	12.5
Magnolia	44	15.785	4.941	111	16.7
Magnolia	45	14.259	4.197	74	10.2
Magnolia	46	12.081	4.402	56	5.9
Magnolia	47	16.755	5.41	165	17
Magnolia	48	13.193	4.443	106	10.4
Magnolia	49	12.298	4.133	87	8.6
Magnolia	50	15.471	4.898	37	7.8
